,rating,reviewContent,teks_setelah_prep
180,jelek,Gan apa ini barang khusus djabotabek aja ke bandung ga bisa?,juragan barang khusus djabotabek bandung
181,jelek,xxnnxif,xxnnxif
182,jelek,Packing Fragile,packing fragile
183,jelek,Mohon petunjuk nya,mohon tunjuk nya
184,jelek,"Unitnya bagus berjalan normal, tapi saya pesan 3 unit,2 kabel usb gak bsa dipake,error gak connect",unit bagus jalan normal pesan unit kabel usb dipakeerror connect
185,jelek,pesanan gue kok ga sampe one day service padahal gue pesen pake gojek.,pesan one servis pesan pakai gojek
186,jelek,casenya kadang kebaca kadang ga,casenya kadang baca kadang
187,jelek,"Barang dah sampe tapi ketika dicoba malah error,data gk masuk,gk muncul pemberitauan pas di pasang di laptop",barang coba errordata masukgk muncul pemberitauan pas pasang laptop
188,jelek,bisa dipakai buat pc.....,pakai pc
189,jelek,Hardisknya mana kok kosong kayak gitu mohon respon,hardisknya kosong mohon respon
190,jelek,ini tuh hardisk apa casenya?,tuh hardisk casenya
191,jelek,Apa Nnt ini bs kredit Gmn sie caranya.....,kredit sie
192,jelek,Kenapa bonusnya malah kabel OTG.. Dan bentuk FD nya agak beda ya,bonus kabel otg bentuk fd nya beda ya
193,jelek,"Barang sudah sampai dengan selamat, dan pengiriman terhitung cepat. Cuma cukup kecewa karna ini Hard case untuk HDD 3.5 inch, bukan 2.5.inch",barang selamat kirim hitung cepat kecewa hard case hdd inch inch
194,jelek,Saya pesan warna hitam yang datang warna biru,pesan warna hitam warna biru
195,jelek,"Pesannya yg warna hitam, tapi dateng nya malah warna biru.",pesan warna hitam nya warna biru
196,jelek,"Kapasitas tidak full 32GB, terbaca hanya 28.6GB",kapasitas full gb baca gb
197,jelek,Ori ngga ka?,original ka
198,jelek,pesanan yg saya terima hanya case hardisk usb obeng dan sekrup saja .. tidak sesuai dengan judul iklannya.. dan saya sudah mengajukan pengembalian dana sesuai respon pelapak trimakasih,pesan terima case hardisk usb obeng sekrup sesuai judul iklan aju kembali dana sesuai respon lapak trimakasih
199,jelek,2GB / 16GB,gb gb
200,jelek,"Barang nya emang cepet dikirim (nilai + buat lazadanjuga buat penjualnya), sesuai judul harga minim kualitas minim, saran aja nih ya mending beli ORI dari pada OEM, knp ?soalnya copy filenya lama susah kebaca *mesti di format lagi. yaaa ujung2nya nganggur gak kepake, tapi kalo lu mau coba2 beli, test aja siapa tau dapet kualitas bagus",barang nya emang cepat kirim nilai lazadanjuga jual sesuai judul harga minim kualitas minim saran nih ya mending beli original oem copy filenya susah baca mesti format yaaa ujung nganggur pakai coba beli test tau dapet kualitas bagus
201,jelek,Brang yg sya pesen tidak lengkap/ kurang 1,brang pesan lengkap
202,jelek,"Bagus tapi barang gak sesuai gambar.bentuk nya beda, Terlalu besar.bonus nya bagus bagus.",bagus barang sesuai gambarbentuk nya beda besarbonus nya bagus bagus
203,jelek,setelah saya cek nomor resi saya dinyatakan bahwa pengiriman saya gagal dan barang Dalam perjalanan kembali ke pengirim.Dengan ini saya batalkan pesanan saya. thanks,cek nomor resi nyata kirim gagal barang jalan pengirimdengan batal pesan terimakasih
204,jelek,Kadang tiba-tiba unplug sendiri.,kadang tibatiba unplug
205,jelek,Kecepatannya masih tidak stabil. Kadang hanya 5mbps,cepat stabil kadang mbps
206,jelek,credit,credit
207,jelek,"Akhirnya bisa juga juga lihat ulasan nih laptop,,,makasih ya...hik hik hik",lihat ulas nih laptopmakasih yahik hik hik
208,jelek,OTG nya gs bisa dgunain di hp,otg nya gs dgunain hp
209,jelek,"Di judul 48"" di deskripsi 24"" mana yang bener?? Di judul juga di tulis 'smart tv' tapi di deskripsi ga dijelasin?? kebanyakan gadoin micin nih seller..",judul deskripsi bener judul tulis smart televisi deskripsi dijelasin banyak gadoin micin nih jual
210,jelek,Mana yg benar ya... 24 inch atau 48 inch...???,ya inch inch
211,jelek,Gan ini yg bener 48 inch atau 24 inch,juragan bener inch inch
212,jelek,Pengiriman dari surabaya? ??? Ternyata jack nya ygcabang 3.harus beli lagi. Program ws nya harus di scan lagi. Repot sih. .thanks ya lazada,kirim surabaya jack nya ygcabang beli program ws nya scan repot sih terimakasih ya lazada
213,jelek,Ini layar bisa di sentuh ga ya?,layar sentuh ya
214,jelek,ini digital tidak??,digital
215,jelek,"Kecewa, flashdiskny ga bisa diformat ke NTFS + copy file gede corrupt, mw jdiin bootable windows eh detect ny bkn 32gb malah jadi 33gb -_- abal nih fd kekny...",kecewa flashdiskny format ntfs copy file corrupt jdiin bootable windows eh detect ny gb gb abal nih fd kekny
216,jelek,Kurirnya kurang profesional dan kurang tepat waktu.,kurir profesional
217,jelek,"gilee. barang uda sampe rumah (90k), eh harganya uda turun lagi jadi 55k :(",gilee barang rumah k eh harga turun k
218,jelek,Tidak berfungsi 😥,fungsi
219,jelek,"Kiriman tepat waktu, Barang oke berfungsi semua, tapi gak ada kaki nya, gimana berdiri in nya nih gan? Mohon segera dikirimkan ya, harus nya sebelom dikirim cek kelengkapan nya jangan sampe ketinggalan",kirim barang oke fungsi kaki nya diri in nya nih juragan mohon kirim ya nya bom kirim cek lengkap nya tinggal
220,jelek,lumyan lah,lumyan
221,jelek,Apa free bracket nya cuma available utk wilayag jabodetabek saja gan?,free bracket nya available wilayag jabodetabek juragan
222,jelek,bisa byr d tempat ga,bayar d
223,jelek,Thexs lazada barang sy trma lebih awal pengiriman cepat paking rapi oke trmks lazada,thexs lazada barang trma kirim cepat paking rapi oke trmks lazada
224,jelek,Barang saya masih belum sampai. Saya order tgl 6 juni. Tgl penerimaan 14-17 juni. Sampai saat ini masih belum saya terima barangnya. Nomer resi yg saya terima di email MPDS-3821441892-1641. Setelah saya cek tidak bisa. Mohon infonya. Thx,barang order tanggal juni tanggal terima juni terima barang nomor resi terima email mpds cek mohon informasi terimakasih
225,jelek,"sudah mengikuti langkaah2 yang dikirimkan tapi ternytaa pas install startuse.exe nya untuk input activationnyacode nyaa trnyata invalid,",ikut langkaah kirim ternytaa pas install startuseexe nya input activationnyacode nyaa invalid
226,jelek,"Pesan tgal 29/05/2017 pakai jasa pengiriman gojek, berharap hari itu jg sampai, tapi sampai tgal 31/05/2017, sia-sia bayar ongkir. pdahal saya lagi butuh cepat.   terus antivirus failed terus, ga bisa di pake, tapi HardDisk oke, barang oke tingkatkan lagi untuk pengirimannya.",pesan tgal pakai jasa kirim gojek harap tgal siasia bayar ongkir butuh cepat antivirus gagal pakai harddisk oke barang oke tingkat kirim
227,jelek,"Saat pengiriman seperti biasanya dibungkus kardus, saat dibuka semuanya ada kecuali usb antivirus kappersky, gatau udah ga promo/ngga. Cukup menyesal :')",kirim bungkus kardus buka kecuali usb antivirus kappersky tau promongga sesal
228,jelek,ini penutup depan nya bisa dibuka nggak? (this front cover can be opened?),tutup nya buka this front cover be opened
229,jelek,"kecewa sama flashdisknya kapasitasnya berkurang 2,8 GB udah gitu gak konek ke otg ... gimana ini ?? saya minta kembali aja uang nya buat apa mahal""tapi gk konek ke otg",kecewa flashdisknya kapasitas kurang gb konek otg uang nya mahaltapi konek otg
230,jelek,"Bagus, mau pesen lg tp harganya mahal klo sekarang",bagus pesan harga mahal
231,jelek,barang nya sampai sekarang gk nyampe d tangan saya (hilang),barang nya d tangan hilang
232,jelek,"Barang bgus,memori 29gb terbacanya bukan 32gb,semoga awet aminn",barang bgusmemori gb baca gbsemoga awet aminn
233,jelek,Ga sesuai capacity nya,sesuai capacity nya
234,jelek,"Saya cukup kecewa, pesanan saya belum sampai juga, dan belum dpt kabar dr kurirnya",kecewa pesan kabar kurir
235,jelek,"Barang sudah sesuai ,, cuman free pen sama ponch nya g ada ..",barang sesuai free pen ponch nya
236,jelek,Orang kirim pake gojek dan sudah di charge malah kirim pake jne. Layanan lambat pesen jumat di undur ke senin buat pengiriman nya gak tahan nya pake JNE. Penjual nya kurang AQUA...,orang kirim pakai gojek charge kirim pakai jne layan lambat pesan jumat undur senin kirim nya tahan nya pakai jne jual nya aqua
237,jelek,Cover nya bagus tapi tidak sesuai dengan keguanaanya tidak bisa untuk backup file. TIDAK ADA KARTU GARANSI tidak kompetibel untuk copy software,cover nya bagus sesuai keguanaanya backup file kartu garansi kompetibel copy software
238,jelek,"Harga turun, akan tetapi pembayara tetap, pelanggan akan merasa sedikit kecewa.",harga turun pembayara langgan kecewa
239,jelek,Pesan tgl 8 des 2017. Pengiriman dgn Gosend. Barang sampai dgn hari ini belum saya terima (blm sampai) dan anehnya distatus pengirimannya barang sdh diterima. Anehnya lagi pada status tsb jam order sampai dgn jam barang terkirim ngawurrr... sdh mencoba menghubungi seller tp sama sekali tdk ada response. Mencoba menghubungi lazada juga jawabannya standart tanpa ada solusi yg jelas. Bener2 kecewa dan merasa tertipu!!!!!!!,pesan tanggal des kirim gosend barang terima aneh status kirim barang terima aneh status jam order jam barang kirim ngawurrr coba hubung jual response coba hubung lazada jawab standart solusi bener kecewa tipu
240,jelek,"Pengiriman tepat waktu,,tetapi untuk packing kurang memuaskan,,sehingga barang yang diterima cacat",kirim waktutetapi packing memuaskansehingga barang terima cacat
241,jelek,Bagaimana carany kalau mau melakukan cicilan,carany cicil
242,jelek,Warnanya ada yg lain gak,warna
243,jelek,"Jenis barang tersebut,ternyata harga bekasnya terbilang lebih mahal dari harga pasaran. Dan untuk charger tidak stabil, agak longar. Tlng TIM LAZADA diperhatikan utk jenis barang second.",jenis barang tersebutternyata harga bekas bilang mahal harga pasar charger stabil longar tolong tim lazada perhati jenis barang second
244,jelek,DI lazada sudah tertulis diterima namun saya belum mendapat barangnya,lazada tulis terima barang
245,jelek,kata 16 gb yang ada 14 gb hadeh ini kenapa,gb gb hadeh
246,jelek,"harga lumayan murah,, tp hasil jg mengecewakan, sinyal, gambar, warna ga bagus.",harga lumayan murah hasil kecewa sinyal gambar warna bagus
247,jelek,rada2 gmna gtu beli smua emg harganya segitu tuh gak bner2 free,rada beli emang harga segitu tuh free
248,jelek,"awal beli cuma 52rb sekarang jadi 81rb, padahal mau beli lagi akhirnya gak jadi beli",beli rb rb beli beli
249,jelek,Hati2 jg sampai ke tipu Ama harga murah,hati tipu harga murah
250,jelek,CD ROM for Driver nya TIDAK ADA,cd rom driver nya
251,jelek,"baru pake 10 menitan tiba2 hdd nya gk kebaca, dan harus colok ulang deh",pakai menit hdd nya baca colok ulang deh
252,jelek,Ini penyimpananx 2 tb kan? Msi ready nggak??,penyimpananx tb msi ready
253,jelek,bautnya kurang...,baut
254,jelek,"cracked in delivery in corner. after 2 weeks and only 3 dvd's played not working just shows ""no disc"" ..no guarantee",cracked in delivery in sudut weeks and only dvds played not working just shows nomor disc nomor guarantee
255,jelek,barang nya bagus sesuai dengan yang saya mau,barang nya bagus sesuai
256,jelek,mengecewakan tuk video ga bisa...,kecewa tuk video
257,jelek,Baru beli uda rusak. Filenya langsung jadi karakter aneh. Untung filenya ngak di cut,beli rusak filenya langsung karakter aneh untung filenya cut
258,jelek,fisik dalam tidak memakai Hdd toshiba tapi memakai Hdd Hitachi  size cocok 2T..  sedikit kecewa.. soal fisiknya yng g pakai Hdd Toshiba dan Harganya sekarang itu loh kok malah diturunkan,fisik pakai hdd toshiba pakai hdd hitachi size cocok t kecewa fisik pakai hdd toshiba harga loh turun
259,jelek,"Pelayanannya bagus sih, cuman produknya yang gak bagus..",layan bagus sih produk bagus
260,jelek,Tolong Pesanan Saya Di Batalkan Okeee,tolong pesan batal okeee
261,jelek,terimakasih pesanan cepat sampai,terimakasih pesan cepat
262,jelek,Pesan Tgl 15 baru dikirim tgl 20 padahal lagi butuh banget Kemudian pas sampe kaget banget beli 2 laptop di jadiin 1 wrap bubble alhasil kardus penyok2 parahh. Beli laptop 17 jutaan 2 biji berasa beli barang murahan. Untungnya laptop gak kenapa2 dan bekerja dengan baik,pesan tanggal kirim tanggal butuh banget pas kaget banget beli laptop jadiin wrap bubble alhasil kardus penyok parahh beli laptop juta biji asa beli barang murah untung laptop
263,netral,Pengiriman super lama.. tapi datang juga sich,kirim super sich
264,netral,Barang mulusss mantapppppp,barang mulusss mantapppppp
265,netral,Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,murah banget enga salah kasih harga tau nati salah kasih informasi barang nya
266,netral,Sangat puas dengan produknya. Terimakasih..,puas produk terimakasih
267,netral,"Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",chargernya lengkap langsung pakai charger nyari beli sambung chargernya tolong d bantu
268,netral,Nyicil dengan cara mudah prosesnya susah nggak,nyicil mudah proses susah
269,netral,Saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi. Untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,igin pesan packingnya rapih aman barang lindung bintang barang terima bagis bintang
270,netral,"Saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada..hanya keterangan saja di dusnya bahwa barang ini Original Resmi Indonesia Bergaransi ..dengan diberi nomor telpon Service Centernya.... Memory yang tersedia ternyata juga tidak sampai 2 TB tetapi 1.81 TB  selisih 0.19 TB ...besar banget selisihnya..tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak...tapi tidak begitu masalah...  Eksternal hardisk ini bekerja bagus, cepat dan  Hadiah hardcase cukup bagus  untuk melindungi barang  ini dari debu dan benturan. Sayangnya saat di registrasi ke Official Webnya WD ternyata Identification Numbernya tidak dikenal..tidak valid...alias barang ini bukan asli..alias KW.. Seller responsif sayangnya tidak memberitahu asli tidaknya barang ini. Pengiriman terhitung cepat..dalam 2 hari barang sudah di tangan.. Mudah2an saja barang ini awet wslaupun tdk original",produk genuine hologram kartu garansi adahanya terang dus barang original resmi indonesia garansi nomor telepon servis centernya memory sedia tb tb selisih tb banget selisihnyatidak pakai sistem banyaktapi eksternal hardisk bagus cepat hadiah hardcase bagus lindung barang debu bentur sayang registrasi official webnya wd identification numbernya dikenaltidak validalias barang aslialias kau jual responsif sayang memberitahu asli tidak barang kirim hitung cepatdalam barang tangan mudah barang awet wslaupun original
271,netral,barang bagus peking rapih. gua rekomendasikan banget lah klo barangnya.cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti. mending buat pengiriman lain deh lbi bgus,barang bagus peking rapih rekomendasi banget barangnyacma sayang kirim kaya ampas jne oper barang muncul komplen cs ny kali ngerti mending kirim deh lbi bgus
272,netral,kecewa alias barang aspal ya lumayan buat isi mp3 sih banyak lagunya,kecewa alias barang aspal ya lumayan isi mp sih lagu
273,netral,Ini layar sentuh bukan yah?,layar sentuh yah
274,netral,Bisa di cicil gak,cicil
275,netral,Ini berapa inci ya layarnya,inci ya layar
276,netral,Bayar ditempat?,bayar tempat
277,netral,Gmana caranya klw mau ikut kredit di lazada...??,gmana kredit lazada
278,netral,"Pengiriman cpt smp.  Produk bagus, sesuai gambar. Trims...",kirim cepat smp produk bagus sesuai gambar trims
279,netral,"TV nya udh seminggu blm sampai juga, Sepertinya harus meningkatkan pengiriman nya lebih diperhatikan supaya sampai sesuai estimasi, thanks",televisi nya minggu tingkat kirim nya perhati sesuai estimasi terimakasih
280,netral,barangnya tiba dengan selamat & cepat. tapi kemasan otg nya nggak memuaskan.,barang selamat cepat kemas otg nya muas
281,netral,"8 hari baru sampai, sistemnya kosong root saja tampil jadi hrs install ulang,, packingan rapi dan tersegel",sistem kosong root tampil install ulang packingan rapi segel
282,netral,barang nya sesuai dan mulus di bungkus rapi,barang nya sesuai mulus bungkus rapi
283,netral,Item arrived in perfect condition and still working well until today. Fast delivery and great customer service/communication.  Thanks,item arrived in perfect kondisi and working well until fast delivery and great customer servicecommunication terimakasih
284,netral,Klu saya mau beli tv di lazada di jamin g ya kualitasnya.,beli televisi lazada jamin ya kualitas
285,netral,Lumayan lah untuk harga segini. Sayang ngebaca hdd 700gb lemot euy,lumayan harga gin sayang ngebaca hdd gb lot euy
286,netral,lumayan,lumayan
287,netral,"Hanya bisa menyimpan sedikit file, padahal kapasitas 16 GB. Sebagian besar file lainnya tidak bisa terbaca padahal sudah saya coba beberapa kali.",simpan file kapasitas gb file baca coba kali
288,netral,Cara cicilan gimna?  Pake dp gk?,cicil pakai dp
289,netral,Bang kalau + upgrade ram jadi total berapa?,bang upgrade ram total
290,netral,suaranya blm teruji,suara uji
291,netral,ini memori nya brp gb ya tolong di jawab,memori nya gb ya tolong
292,netral,Ini Widows apa ya?,widows ya
293,netral,Laptop nya sudah saya terima dan packing nya bagus tanpa sedikit cacat.ThanksLazada,laptop nya terima packing nya bagus cacatthankslazada
294,netral,"Trims lazada. Paket pembelian Tv kami telah sampai ketujuan tepat waktu, Tanpa cacat sedikit pun.",trims lazada paket beli televisi tuju cacat
295,netral,Barang hari ini pesen di anternya juga hari ini tapi mana ??  Di tunggu 24jam gak ad !@ Saya pesan dan tf tgl 2 jam 7 pagi  Tolong dong. Gojek nya juga susah di hubungi,barang pesan anter tunggu jam pesan tf tanggal jam pagi tolong gojek nya susah hubung
296,netral,Maaf gan/sist  Sya mau tanya soal cicil gimana cara ya..,maaf gansist cicil ya
297,netral,harus yg asli,asli
298,netral,kira kira brp lama nyampe k tempat saya kak..kalo terjadi masalah pada pengiriman gimana semacam rusak or pecah,k kakkalo kirim rusak or pecah
299,netral,lama sampe dan responnya automatic system,responnya otomatis system
300,netral,"hanya salah faham dan saya ingin mengembalikannya itu saja,tapi  bagus sih casingnya cuman saya mau harddisk bukan casing",salah faham kembali sajatapi bagus sih casingnya harddisk casing
301,netral,Barang bagus cmn gagal fokus pembelix,barang bagus cmn gagal fokus pembelix
302,netral,Ini Hardisk atau hanya BOX nya saja?,hardisk box nya
303,netral,good product,good produk
304,netral,Ini Chasenya Doank Ya,chasenya ya
305,netral,USB nya sudah bisa putar video belum,usb nya putar video
306,netral,Dikirim pake gojek jakarta bisa ga.,kirim pakai gojek jakarta
307,netral,Nanti saat udah di beli malah 4 GB :v,beli gb v
308,netral,"Barang mulus, paking rapi, pengiriman cepat, namun tidak muat sama hardisk punya saya, ketebalan nya beda 2mm. Jadi ga muat, terlalu slim",barang mulus paking rapi kirim cepat muat hardisk tebal nya beda mm muat slim
309,netral,"Barang dateng dengan cepat, pembungkus juga kokoh dan rapih tetapi pas di liat cass ny bnyak yg lecet",barang cepat bungkus kokoh rapih pas lihat cass ny bnyak lecet
310,netral,"Barangnya datang lebih cepat dan bagus, hanya saja kita berharap ada kabel datanya ternyata gak ada",barang cepat bagus harap kabel data
311,netral,apakah sudah tersedia arduino untuk menghubungkan ke harddisk.?,sedia arduino hubung harddisk
312,netral,Barang berfungsi dengan baik trims lazada,barang fungsi trims lazada
313,netral,"Windows asli, dapet tas laptop, ram gede, cuman Microsoft office harus donwload sendiri atau pakai polaris, desain bagus warna biru tua, pengiriman cepat, packingsangat rapi masih tersegel. Thanx Lazada",windows asli dapet tas laptop ram microsoft office donwload pakai polaris desain bagus warna biru tua kirim cepat packingsangat rapi segel terimakasih lazada
314,netral,"Pengiriman tepat waktu, Packing rapi, bonus case+pena, produk original, tersegel, compatible dg Win.10, transfer data cepat, produk bisa didaftarkan langsung secara online. Kartu garansi tidak ada. Mohon arahan untuk klaim garansi diLuar Jawa.",kirim packing rapi bonus casepena produk original segel compatible menang transfer data cepat produk daftar langsung online kartu garansi mohon arah klaim garansi luar jawa
315,netral,"Permisi, kapan barang penggantinya bisa dikirim? Terima Kasih",permisi barang ganti kirim terima kasih
316,netral,"gan ini barang msih ready stock ?? kalo dari jakarta ke bandung kira"" ongkirnya brapa ya ? dan biasanya nyampenya brapa lama ?",juragan barang ready sedia jakarta bandung ongkirnya brapa ya nyampenya brapa
317,netral,"kualitas barang bagus, sesuai dengan specifikasi dalam katalog di Lazada",kualitas barang bagus sesuai specifikasi katalog lazada
318,netral,Dear admin Kl kasperskynya dalam bentuk cd atau software biasa?  Apakah kaspersky premium? Atau freeware?,dear admin kl kasperskynya bentuk cd software kaspersky premium freeware
319,netral,Waktu kode aktivasinya dimasukkan untuk pengaktifan tech titannya malah gak valid dan dapat email yang memberitahukan kodenya gak valid,kode aktivasinya masuk aktif tech titannya valid email memberitahukan kode valid
320,netral,"Antivirusnya ko malah jd kya virus, tiap di pake komputer aq jd lemot.",antivirusnya ko virus pakai komputer lot
321,netral,Barang nyampe tapi ada yang kurang. Ga ada software back up sama usb nya kasperky seperti promonya,barang software back up usb nya kasperky promonya
322,netral,"Saya memakai HP Spectre dimana tidak ada USB C, kemudian saya membeli sekaligus 3 series Baseus yang dapat mengconvert dr USB C ke USB 3.1, masalah timbul karena Hardisk ini tidak compatible sehingga selalu error terditeksi, dimana hanya kadang2 dapat terditeksi. Saya mempunyai 4 WD Passport, 2bh, 1TB dan 1bh,  1.5 TB, semuanya compatible, hanya yang 4 TB susah connectmya, apabila saya memakai computer destop/ notebook lainnya dapat connect dengan mudah, jadi WD tidak masalah, tanya ke WD Service center tidak ada yang menjawab.",pakai hp spectre mana usb c beli series baseus mengconvert usb c usb timbul hardisk compatible error teks mana kadang teks wd passport bh tb bh tb compatible tb susah connectmya pakai computer destop notebook connect mudah wd wd servis center
323,netral,Kenapa di laptop Macbook Pro Retina saya ngga bisa dibuka ya?,laptop macbook pro retina buka ya
324,netral,"Sangat puas, barang bagus paketan bagus, kurir ramah. Lain kali mw belanja lagi di sini",puas barang bagus paket bagus kurir ramah kali belanja
325,netral,"Packing bagus, pengiriman cepat...cuman hardcase ternyata tdk sesuai dgn gambar produk. Harapan sy dapatnya warna sesuai hard disk dan ukuran lbh besar dikit.",packing bagus kirim cepatcuman hardcase sesuai gambar produk harap dapat warna sesuai hard disk ukur
326,netral,"pengiriman cepat sampai Untuk barangnya bagus sesuai deskripsi, pengiriman data cepat tetapi barangnya cepat panas padahal baru di pakai selama 5 menit aja",kirim cepat barang bagus sesuai deskripsi kirim data cepat barang cepat panas pakai menit
327,netral,cepet panas,cepat panas
328,netral,"trnyata kecil bgt ya,, tp barang sesuai..tq",banget ya barang sesuaitq
329,netral,Halo lazada pesanan menggencewaka packing jelek tidak bagus kurir baru kinerja kurang bagus packing jelek beda masa kurir lama dia sudah tau siapa pembeli dan berhati 2x bawa pesanan packing selalu bagus dan tidak menggencewakan pembeli Rama lazada saya berhenti belanja di aplikasi lazada selama 4 bulan saya akan belanja lagi asal kurir lama membawa pesanan saya lazada sekian,halo lazada pesan menggencewaka packing jelek bagus kurir kerja bagus packing jelek beda kurir tau beli hati x bawa pesan packing bagus menggencewakan beli rama lazada henti belanja aplikasi lazada belanja kurir bawa pesan lazada sekian
330,netral,good bgs sesuai dengan harga,good bgs sesuai harga
331,netral,sukses lazada,sukses lazada
332,netral,Barang oke,barang oke
333,netral,bagus.. cuma sayang cleanernya gak sesuai gambar dimana disitu ada kuasnya... sedangkan kenyataanya dapat cotton buds.. tapi secara keseluruhan bagus. trims...ulasan ditolak,bagus sayang cleanernya sesuai gambar mana situ kuas kenyataanya cotton buds bagus trimsulasan tolak
334,netral,pengiriman ok.packaging ok kurir ok tapiiiiii koq isinya cuma 57.19GB......bintang 3 aja dech,kirim okpackaging ok kurir ok tapiiiiii koq isi gbbintang dech
335,netral,tidak sesuai gambar dan deskripsi,sesuai gambar deskripsi
336,netral,"Akhirnya sampai jga. Awalnya sempat kecewa sih krna gk sesuai tgl nyampenya, telat 1 minggu. Semuanya lengkap mulai dri hdd dan bonus2nya. Belum dicba sih, ntar lgi cba. Seller nya fast respon, tpi yg jdi mslah itu jasa pngirimannya. Packingannya rapi, tidak ada yg rusak.",kecewa sih sesuai tanggal nyampenya telat minggu lengkap hdd bonus dicba sih cba jual nya fast respon jasa pngirimannya packingannya rapi rusak
337,netral,"Tidak sesuai gambar,tidak ada obeng,dan tidak ada dompet/kantung pelindung yg ada digambar,tolong diperbaiki",sesuai gambartidak obengdan dompetkantung lindung digambartolong baik
338,netral,"Barang sampai tidak sesuai deskripsi, tidak ada oben didalamnya, so far pengiriman sesuai estimasi. Hanya kelengkapan saja lainnya sudah bagus",barang sesuai deskripsi oben dalam far kirim sesuai estimasi lengkap bagus
339,netral,Barang ready gan?,barang ready juragan
340,netral,barang sampe thanks ya. cuman ko botolnya pecah. minus nya packing barangnya kurang rapi dan kurang aman,barang terimakasih ya ko botol pecah minus nya packing barang rapi aman
341,netral,pesan barang yang tipe basic kok yang di kirim tipe ready semoga awet,pesan barang tipe basic kirim tipe ready moga awet
342,netral,"Bagus barangnya , tapi ga sesuai kapasitas yg diiklankan . Pas ditester hanya dapat 56 gb dari 64 Gb",bagus barang sesuai kapasitas iklan pas tester gb gb
343,netral,"Bagus barangnya , tapi ga sesuai kapasitas . Pas ditester hanya dapat 14gb saja .",bagus barang sesuai kapasitas pas tester gb
344,netral,Mantul meski gak 32 full tapi murah dan gak murahan,mantul full murah murah
345,netral,"barang ok, tapi proses pengiriman agak lambat",barang ok proses kirim lambat
346,netral,"gada sopan"" nya kurir nya.Giliran di ksh duit lebih baru sok ramah hahahaha.tapi keren deh paket nye rapi",sopan nya kurir nyagiliran kasih duit sok ramah hahahahatapi keren deh paket nye rapi
347,netral,Barang bagus dan rapi,barang bagus rapi
348,netral,Hardisk Saya udah Kena Bad Sector Dikarenakan Copy Paste Juga Lama -_- Apa Gw Salah Pilih Sata? Seharusnya Yang USB TO USB Lah,hardisk kena bad sector copy paste salah pilih sata usb usb
349,netral,barang recomended tapi nginep di ekspedisinya kelamaan,barang recomended inap ekspedisi
350,netral,bagus barangnya,bagus barang
351,netral,Barang ok kiriman cepat,barang ok kirim cepat
352,netral,masih tahap test dlu ya..,tahap test ya
353,netral,Gan ini hardisk apa case doang,juragan hardisk case
354,netral,Sis kok kabelnya gk nyambung ya? Jadi ke laptopnt kyk kendor gtu,sis kabel nyambung ya laptopnt kendor
355,netral,barang original mantul,barang original mantul
356,netral,bagus,bagus
357,netral,"Kereeennn, tp tidak ada remotenya",kereeennn remotenya
358,netral,Maaf ini ada port u.s.b nya ga,maaf port usb nya
359,netral,Mantap,mantap
360,netral,siip barang sesuai pesanan,siip barang sesuai pesan
361,netral,"Barang nya bagus, materialnya sesuai. Hanya kerapihan pembuatan yang harus lebih ditingkatkan. Terima kasih",barang nya bagus material sesuai kerapihan buat tingkat terima kasih
362,netral,"di foto terlihat ukuran hardcase dan harddisk sangat pas. tetapi setelah barang datang dan saya buka ternyata ukurannya lumayan besar tidak seperti di foto. mau saya balikin tapi kok barangnya murah, ya sudah saya pakai aja, gakpapa kok...",foto ukur hardcase harddisk pas barang buka ukur lumayan foto balikin barang murah ya pakai apa
363,netral,"Senin tgl 30Nov bayar, kamis 3Des sdh sampai. Packagenya rapi dan bagus, trnyata dimensinya agak besar dari ekspetasi hehehe.. barang murah tapi ditangani dengan profesional. Good Job",senin tanggal november bayar kamis des packagenya rapi bagus dimensi ekspetasi hehehe barang murah tangan profesional good job
364,netral,"Barangnya bagus , fix banget dengan external hardisk dan lebih aman",barang bagus fix banget external hardisk aman
365,netral,sesuai banget..,sesuai banget
366,netral,"Warnanya sesuai, pengiriman juga cepat, tapi kegedean sekali barangnya, gak muat untuk hardisk nya",warna sesuai kirim cepat barang muat hardisk nya
367,netral,Minus nya apa,minus nya
368,netral,"bagus, sesuai yg d harapkan.... gk nysel gk kecewa beli jg. thnks seller n lazada.",bagus sesuai d harap nysel kecewa beli thnks jual n lazada
369,netral,"Barangnya cepat sampai,, kondisinya baik. Thank lazada",barang cepat kondisi thank lazada
370,netral,Klo ke toko di bali bisa lewat home kredit?,toko bal home kredit
